ID,ent-name,ent-adrs,ent-adrs-pub,ent-zip,ent-city,ent-cnty,ent-st,ent-cntry,website,ent-cnct,ent-cnct-pub,ent-email,ent-email-pub,ent-phone,ent-phone-pub,ent-type,ent-include,disp-adrs-zip,disp-output,geo-scope,ent-tags,ent-desc-eng,ent-desc-loglang,ent-img-link,ent-img-lic,ent-img-crdt,lon,lat,rec-src,rec-udt-by,rec-updt-date
41,AIS Network Corporation,1611 Colonial Parkway,yes,60067,Inverness,Cook,IL,USA,"http://easycarepaint.coop,http://easycarepaints.coop,http://ezcarepaint.coop",,,,,,,hardware store,yes,address,both,national,,,,,,,-88.079153,42.084115,dotcoop,SE,2020-12-26
42,"Albany Consensus, 4 units",2423 N Albany Ave,yes,60647,Chicago,,IL,USA,http://albanyconsensus.org/home,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.7046836,41.9255816,SEWG,DC,2020-12-26
43,Albany Park Branch Library,3401 W. Foster Avenue,yes,60625,Chicago,,IL,USA,http://www.chipublib.org/locations/1,,,,,,,Library,yes,address,both,local,,,,,,,-87.71357615,41.97559971,data.cityofchicago.org,SE,2020-12-26
44,Alliance for a Greener South Loop,600 S. Dearborn St,yes,60605,Chicago,,IL,USA,https://www.facebook.com/GreenerSouthLoop/,,,,,,,Association Office,yes,address,both,local,,,,,,,-87.62929994,41.87453032,Accelerate77,SE,2020-12-26
45,Alliance of the Southeast,"9204 South Commercial Avenue, #301",yes,60617,Chicago,,Il,USA,https://asechicago.wordpress.com/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.55130098,41.7280945,Accelerate77,SE,2020-12-26
46,Alliant Credit Union,11545 W Touhy Ave,yes,60666,Chicago,,IL,USA,http://www.alliantcreditunion.org/,,,,,(800)328-1935,yes,Credit Union,yes,address,both,local,,,,,,,-87.895058,41.972411,creditunionaccess.com,SE,2020-12-26
47,Alloya Corporate FCU,"184 Shuman Blvd, Suite 400",yes,60563,Naperville,DuPage,IL,USA,http://alloya.coop,,,,,,,credit union,yes,address,both,local,,,,,,,-88.143339,41.7940328,dotcoop,SE,2020-12-26
48,Altgeld Branch Library,13281 S. Corliss Avenue,yes,60827,Chicago,,IL,USA,http://www.chipublib.org/locations/3,,,,,,,Library,yes,address,both,local,,,,,,,-87.60221997,41.65505805,data.cityofchicago.org,SE,2020-12-26
49,Altgeld Gardens Growing Power Urban Farm,951 E 132nd Pl,yes,60827,Chicago,,Il,USA,http://www.growingpower.org/education/chicago-farms-and-projects/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.59745732,41.65518548,Neighborspace,SE,2020-12-26
50,Altgeld/Sawyer Corner Garden,3240 W Altgeld St,yes,60639,Chicago,,Il,USA,http://altgeldsawyer.cornerfarmchicago.com/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.70949224,41.92660652,Accelerate77,SE,2020-12-26
51,Amate House,3600 S. Seeley Ave.,yes,60609,Chicago,,IL,USA,https://amatehouse.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.67654344,41.82853142,Accelerate77,SE,2020-12-26
52,AMERICA SCORES-CHICAGO,600 W CERMAK RD # 204,yes,60616,Chicago,,IL,USA,https://www.chicagoscores.org,,,,,(312) 666-0496,yes,Social Workshop,yes,address,both,local,,,,,,,-87.642104,41.8529376,SEWG,DC,2020-12-26
53,AMERICAN BROADCAST EMPLOYEE CU,190 N STATE ST,yes,60601,Chicago,,IL,USA,https://www.abefcu.org/,,,,,(312) 899-4104,yes,Credit Union,yes,address,both,local,,,,,,,-87.6284713,41.8853588,SEWG,DC,2020-12-26
54,American Indian Center Inc.,3401 West Ainslie Street,yes,60625,Chicago,,IL,USA,http://aic-chicago.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.7137847,41.9699711,Accelerate77,SE,2020-12-26
55,AMERITAS GROUP,643 E 83RD ST,yes,60619,Chicago,,IL,USA,https://www.ameritas.com/,,,,,773-633-2566,yes,Mutual Insurance,check,address,both,national,,,,,,,-87.6085616,41.7438163,SEWG,DC,2020-12-26
56,Andersonville Farmers Market,1500 W. Berwyn Ave.,yes,60640,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.66835785,41.97810892,City of Chicago Farmers Markets,SE,2020-12-26
57,Annie B. Jones Community Services Inc. (ABJ),1818 E. 71st St,yes,60636,Chicago,,IL,USA,http://www.abjchicago.org/index.php?page=meet-the-leadership-team,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.66944964,41.76493965,Accelerate77,SE,2020-12-26
58,Archer Heights Branch Library,5055 S. Archer Avenue,yes,60632,Chicago,,IL,USA,http://www.chipublib.org/locations/4,,,,,,,Library,yes,address,both,local,,,,,,,-87.72650303,41.80112567,data.cityofchicago.org,SE,2020-12-26
59,Archer Heights Credit Union,6554 W Archer Ave,yes,60638,Chicago,,IL,USA,http://www.archerheights.com/,,,,,(773)229-1500,yes,Credit Union,yes,address,both,local,,,,,,,-87.78588167,41.79235484,creditunionaccess.com,SE,2020-12-26
60,Archeworks,625 N. Kingsbury St,yes,60654,Chicago,,IL,USA,https://archinect.com/archeworks,,,,,,,School,yes,address,both,local,,,,,,,-87.64114967,41.89325585,Accelerate77,SE,2020-12-26
61,Architreasures,"3500 S. Lake Park, #1 West",yes,60653,Chicago,,Il,USA,http://architreasures.org/,,,,,,,Arts Centre,yes,address,both,local,,,,,,,-87.612036,41.820185,Accelerate77,SE,2020-12-26
62,Argyle Apartment Building,1458 W. Argyle,yes,60640,Chicago,,IL,USA,http://www.rosenmanagement.com/argyle-apts/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.6669586,41.9727081,SEWG,DC,2020-12-26
63,Argyle Night Market,Broadway & Argyle St.,yes,60640,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.666715,41.9726,City of Chicago Farmers Markets,SE,2020-12-26
64,Artist’s Garden,8931-35 S Brandon Ave,yes,60617,Chicago,,IL,USA,http://neighbor-space.org/artists-garden-2/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.546639,41.733225,SEWG,DC,2020-12-26
65,Ashford Annie Beck Garden,1000 N Keystone Ave,yes,60651,Chicago,,IL,USA,http://neighbor-space.org/ashford-annie-beck-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.7276451,41.8991694,SEWG,DC,2020-12-26
66,Assata's Daughters,,,,Chicago,,IL,USA,http://www.assatasdaughters.org,,,,,,,Social Workshop,yes,address,directory,local,,,,,,,,,SEWG,DC,2020-12-26
67,Austin Branch Library,5615 W. Race Avenue,yes,60644,Chicago,,IL,USA,http://www.chipublib.org/locations/6,,,,,,,Library,yes,address,both,local,,,,,,,-87.76574288,41.88919197,data.cityofchicago.org,SE,2020-12-26
68,Austin Coming Together,5049 W. Harrison Street,yes,60644,Chicago,,IL,USA,http://austincomingtogether.org,,,,,,,Association Office,yes,address,both,local,,,,,,,-87.74936063,41.87292816,Accelerate77,SE,2020-12-26
69,Austin Food Coop,Austin,yes,,Chicago,,IL,USA,https://www.facebook.com/pg/acfcchicago/,,,,,773.983.6822,yes,Food Cooperative,yes,address,directory,local,,,,,,,,,SEWG,DC,2020-12-26
70,Austin Town Hall Farmers Market,5610 W. Lake St,yes,60644,Chicago,,IL,USA,https://www.localharvest.org/austin-town-hall-city-market-M1968,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.757606,41.881955,City of Chicago Farmers Markets,SE,2020-12-26
71,Austin-Irving Branch Library,6100 W. Irving Park Road,yes,60634,Chicago,,IL,USA,http://www.chipublib.org/locations/7,,,,,,,Library,yes,address,both,local,,,,,,,-87.77924333,41.95310368,data.cityofchicago.org,SE,2020-12-26
72,Avalon Park Branch Library,8148 S. Stony Island Ave,yes,60617,Chicago,,IL,USA,http://www.chipublib.org/locations/8/,,,,,,,Library,yes,address,both,local,,,,,,,-87.58596146,41.74694783,Accelerate77,SE,2020-12-26
73,Back of the Yards Branch Library,2111 W. 47th Street,yes,60609,Chicago,,IL,USA,http://www.chipublib.org/locations/9,,,,,,,Library,yes,address,both,local,,,,,,,-87.67738031,41.80840659,data.cityofchicago.org,SE,2020-12-26
74,Balzekas Museum of Lithuanian Culture,6500 S. Pulaski Rd.,yes,60629,Chicago,,IL,USA,https://www.facebook.com/Balzekas-Museum-of-Lithuanian-Culture-170807661630/,,,,,,,Community Center,yes,address,both,local,,,,,,,-87.72275675,41.7750006,Accelerate77,SE,2020-12-26
75,BANNER COLLECTIVE,935 W CHESTNUT 305,yes,60642,Chicago,,IL,USA,https://www.bannercollective.com,,,,,312.374.5550,yes,Workers Collective,yes,address,both,local,,,,,,,-87.6514738,41.8981714,SEWG,DC,2020-12-26
76,BBF Family Services,1512 S. Pulaski Rd.,yes,60623,Chicago,,IL,USA,https://bbffamilyservices.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.72508908,41.86035956,Accelerate77,SE,2020-12-26
77,BCU,340 N. Milwaukee Ave,yes,60061,Vernon Hills,Lake,IL,USA,"http://bcu.org,http://cufx.coop",,,,,800-388-7000,yes,credit union,yes,address,both,local,,,,,,,-87.944346,42.2331685,dotcoop,SE,2020-12-26
78,BCU,"6409 Grand Ave, Unit B-2",yes,60031,Gurnee,Lake,IL,USA,http://bcu.org,,,,,800-388-7000,yes,Credit Union,yes,address,both,local,,,,,,,,,dotcoop,,
79,Benton House,3052 S. Gratten Avenue,yes,60608,Chicago,,IL,USA,http://bentonhouse.org/,,,,,,,Group Home,yes,address,both,local,,,,,,,-87.65439858,41.83927959,Accelerate77,SE,2020-12-26
80,Berean Credit Union,5147 S Dearborn St,yes,60609,Chicago,,IL,USA,http://creditunionaccess.com/cu66089.htm,,,,,(773)924-0381,yes,Credit Union,yes,address,both,local,,,,,,,-87.6268694,41.79983278,creditunionaccess.com,SE,2020-12-26
81,Bethel A.M.E. Church Credit Union,4448 S Michigan Ave,yes,60653,Chicago,,IL,USA,http://creditunionaccess.com/cu65680.htm,,,,,(708)205-5526,yes,Credit Union,yes,address,both,local,,,,,,,-87.62304997,41.81393145,creditunionaccess.com,SE,2020-12-26
82,Bethel Terrace,900 W 63rd Pkwy,yes,60621,Chicago,,IL,USA,https://www.facebook.com/pages/Bethel-Terrace/111532478910586?ref=br_rs,,,,,773.873.8703,Yes,Housing Coop,yes,address,both,local,,,,,,,,,ChicagoCoop.net,SE,2020-12-26
83,Betty Swan Community Arboretum,3836-3848 W Arthington St,yes,60642,Chicago,,IL,USA,https://www.facebook.com/nlgreeningcommittee/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.721828,41.870115,SEWG,DC,2020-12-26
84,Beverly Arts Center,2407 W. 111th St.,yes,60655,Chicago,,IL,USA,www.beverlyartcenter.org,,,,,,,Arts Centre,yes,address,both,local,,,,,,,-87.68144663,41.69169014,Accelerate77,SE,2020-12-26
85,Beverly Branch Library,1962 W. 95th St.,yes,60643,Chicago,,Il,USA,http://www.chipublib.org/locations/10/,,,,,,,Library,yes,address,both,local,,,,,,,-87.67146372,41.7211763,Accelerate77,SE,2020-12-26
86,Beverly Farmers Market,95th St. & Longwood Dr.,yes,60643,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.659992,41.699379,City of Chicago Farmers Markets,SE,2020-12-26
87,Beyond Today,4511 N. Campbell,yes,60625,Chicago,,Il,USA,https://www.transitionnetwork.org/initiatives/beyond-today,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.69110202,41.96343387,Accelerate77,SE,2020-12-26
88,Bezazian Branch Library,1226 W. Ainslie Street,yes,60640,Chicago,,IL,USA,http://www.chipublib.org/locations/11,,,,,,,Library,yes,address,both,local,,,,,,,-87.66056249,41.97153797,data.cityofchicago.org,SE,2020-12-26
89,Bickerdike Redevelopment Corporation,2550 W. North Ave.,yes,60647,Chicago,,IL,USA,www.bickerdike.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.69125962,41.91043289,Accelerate77,SE,2020-12-26
90,Black Oak Center for Sustainable Living,10249 S. Halsted St,yes,60617,Chicago,,IL,USA,http://www.blackoakscenter.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.64276856,41.70784019,Accelerate77,SE,2020-12-26
91,Black Star Project,3509 S King Dr #2B,yes,60653,Chicago,,IL,USA,blackstarproject.org/action,,,,,773-285-9600,yes,Social Workshop,yes,address,both,local,,,,,,,-87.61677666,41.8301461,Shareable Map,SE,2020-12-26
92,Black Tech Mecca,222 W Merchandise Mart Plaza,yes,60654,Chicago,,IL,USA,http://www.blacktechmecca.org/,,,,,,,Workers Collective,yes,address,both,local,,,,,,,-87.636511,41.887141,Steve Ediger,SE,2020-12-26
93,Blacks in Green,PO Box 378411,yes,60637,Chicago,,IL,USA,www.blacksingreen.org,,,,,,,Social Workshop,yes,zip code,both,local,,,,,,,-87.603401,41.78128,Accelerate77,SE,2020-12-26
94,Blackstone Bicycle Works,6100 S. Blackstone Ave.,yes,60637,Chicago,,Il,USA,www.experimentalstation.org/blackstone-bikes,,,,,,,Bicycle Store,yes,address,both,local,,,,,,,-87.59038586,41.78388065,Accelerate77,SE,2020-12-26
95,Blackstone Branch Library,4904 S. Lake Park Avenue,yes,60615,Chicago,,IL,USA,http://www.chipublib.org/locations/12,,,,,,,Library,yes,address,both,local,,,,,,,-87.58921513,41.80557185,data.cityofchicago.org,SE,2020-12-26
96,Blessed Sacrament Parish Teen Center,3528 S. Hermitage Ave.,yes,60609,Chicago,,IL,USA,http://bspyouth.blogspot.com/p/staff.html,,,,,,,Community Center,yes,address,both,local,,,,,,,-87.66925008,41.82978528,Accelerate77,SE,2020-12-26
97,Bleux Financial Solutions Inc.,1751D West Howard Street #254,yes,60626,Chicago,Cook,IL,USA,https://bleux.net,,,,,,,Workers Collective,yes,address,both,local,,,,,,,,,Christopher Preciado,SE,2021-04-30
98,Block Club Federation,3320 W Hirsch St,yes,60651,Chicago,,IL,USA,https://www.blockclubfederation.org/,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.70985698,41.90653179,Accelerate77,SE,2020-12-26
99,Bloomingdale Arts Building,2130 W. Fulton Street,yes,60612,Chicago,,IL,USA,https://chicagoartistscoalition.org/residencies,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.6806929,41.8869734,SEWG,DC,2020-12-26
100,BLUE HAWK COOPERATIVE,,,,Chicago,,IL,USA,http://www.bluehawk.coop,,,,,,,hardware store,check,address,both,national,National Coop,,,,,,,,SEWG,DC,2020-12-26
101,Blue Recycling Center,4619 W. Homer Street,yes,60639,Chicago,,IL,USA,http://www.chicagorecycling.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.74202012,41.91597417,Accelerate77,SE,2020-12-26
102,Blue Tin Production,,,60640,Chicago,,IL,USA,https://bluetinproduction.com,,,hello@bluetinproduction.com,yes,,,cooperative,yes,zip code,both,local,,,,,,,,,SEWG,SE,2020-12-26
103,Blue1647 (Blue Lacuna),2150 Canalport Suite 2A-11,yes,60608,Chicago,,IL,USA,http://www.blue1647.com/,,,,,,,Coworking Space,yes,address,both,local,,,,,,,-87.65065498,41.85296204,Steve Ediger,SE,2020-12-26
104,Blueriddle Cooperative Broadcasting Association,4109 W Crystal St,no,60651,Chicago,Cook,IL,USA,http://blueriddle.coop,,,,,,,media,check,address,directory,local,,,,,,,-87.72924,41.9033215,dotcoop,SE,2020-12-26
105,Bluestem Building and Restoration LLC,2984 N Winser Ave,yes,60618,Chicago,Cook,IL,USA,http://bluestem.coop,,,info@bluestem.coop,yes,(773) 250-2000,yes,Workers Collective,yes,address,directory,local,,,,,,,-87.66063,41.87897,dotcoop,SE,2020-12-26
106,Borderbend Arts Collective,15 S Homan Ave #315,yes,60624,Chicago,,IL,USA,http://www.borderbend.org/,,,,,,,Workers Collective,yes,address,both,local,,,,,,,-87.71090938,41.88072504,Steve Ediger,SE,2020-12-26
107,Bowmanville Community Garden,5412 N. Bowmanville,yes,60625,Chicago,,IL,USA,http://neighbor-space.org/2011/05/19/bowmanville-community-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.703667,41.968521,Neighborspace,SE,2020-12-26
108,Bowmanville Gateway Garden,1801 W. Balmoral,yes,60640,Chicago,,IL,USA,http://neighbor-space.org/2012/05/23/bowmanville-gateway-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.67450815,41.97965714,Neighborspace,SE,2020-12-26
109,Brainerd Branch Library,1350 W. 89th Street,yes,60620,Chicago,,IL,USA,http://www.chipublib.org/locations/13,,,,,,,Library,yes,address,both,local,,,,,,,-87.65724713,41.73243291,data.cityofchicago.org,SE,2020-12-26
110,Brickyard Garden,6115 S. Woodlawn Ave.,yes,60637,Chicago,,IL,USA,http://neighbor-space.org/2012/06/15/brickyard-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.5961914,41.78390191,Accelerate77,SE,2020-12-26
