name,address,postal code,city1,st,city,Country,type,check,website,Link to Contact Data,Opening Hours (Url when available),Tags (seperate by comma),Short description English,Short description local language,Image Filename/Link,Image License,Image Credit,Email-Address,is Mail public,Telephone Number,Phone public,GeocodeQualityType,lon,lat,Source,Completed by,organic,fair-trade,regional,category-tag1,category-tag2,category-tag3
3500 NORTH LAKE SHORE DR CO-OP,3500 N LAKE SHORE DR,60657,Chicago,IL,"Chicago, IL 60657",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,(773) 327-8660,,,-87.6428605,41.9469092,SEWG,DC,,,,,,
3800 Fillmore Block Club Garden of Hope,3834 W Fillmore St,60624,Chicago,IL,"Chicago, IL 60624",USA,Community Garden,yes,http://neighbor-space.org/2012/06/24/3800-fillmore-block-club-garden-of-hope/,,,,,,,,,,,,,,-87.72132783,41.86812772,Neighborspace,SE,,,,,,
399 COOPERATIVE CORP,399 W FULLERTON PKWY,60614,Chicago,IL,"Chicago, IL 60614",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,(773) 348-0390,,,-87.6390351,41.9254114,SEWG,DC,,,,,,
4 Star Courier Collective LLC,2040 N Milwaukee Ave,60647,Chicago,IL,"Chicago, IL 60647",USA,Workers Collective,yes,fourstarcourier.com,,,,,,,,,,,,,,-87.68988891,41.91823851,Shareable Map,SE,,,,,,
42nd Street Garden,4200 S Vincennes,60653,Chicago,IL,"Chicago, IL 60653",USA,Community Garden,yes,no website or facebook,,,,,,,,,,,,,,-87.6139326,41.8183809,SEWG,DC,,,,,,
4400 Maypole Block Club Gardens,222-30 N Kenneth Ave,60624,Chicago,IL,"Chicago, IL 60624",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/4400-maypole-block-club-garden/,,,,,,,,,,,,,,-87.723846,41.877445,Neighborspace,SE,,,,,,
500 West 103rd Place Garden,533 W 103rd Pl,60628,Chicago,IL,"Chicago, IL 60628",USA,Community Garden,yes,http://neighbor-space.org/2012/06/24/500-west-103rd-place-garden/,,,,,,,,,,,,,,-87.63633928,41.70599107,Neighborspace,SE,,,,,,
57TH STREET BOOKS,1301 E 57TH ST,60637,Chicago,IL,"Chicago, IL 60637",USA,Housing Coop,yes,https://www.semcoop.com/,,,,,,,,,,,(773) 684-1300,,,-87.5946818,41.7912322,SEWG,DC,,,,,,
6062Trees,2612 S Trumbull Ave,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2012/06/23/26th-and-trumbull-pocket-park/,,,,,,,,,,,,,,-87.71121419,41.84420071,Accelerate77,SE,,,,,,
61st Street Farmers Market,6100 S. Blackstone Ave.,60637,Chicago,IL,"Chicago, IL 60637",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.59038586,41.78388065,City of Chicago Farmers Markets,SE,,,,,,
62Garden (West Side),6183 S Dorchester Ave,60637,Chicago,IL,"Chicago, IL 60637",USA,Community Garden,yes,62garden.com,,,,,,,,,,,,,,-87.5913065,41.78260014,Shareable Map,SE,,,,,,
62nd & Central Green Space,6200-08 S Central Ave,60638,Chicago,IL,"Chicago, IL 60638",USA,Community Garden,yes,http://neighbor-space.org/2011/05/20/ubam-park62nd-central-green-space/,,,,,,,,,,,,,,-87.774356,41.781649,Neighborspace,SE,,,,,,
65th and Woodlawn Community Garden,1228 E. 65th St.,60643,Chicago,IL,"Chicago, IL 60643",USA,Community Garden,yes,http://www.65thandwoodlawn.com,,,,,,,,,,,,,,-87.59567637,41.77697449,Accelerate77,SE,,,,,,
6900 South Dante Garden,1422 E 69th St,60637,Chicago,IL,"Chicago, IL 60637",USA,Community Garden,yes,http://neighbor-space.org/2012/07/24/6900-south-dante-garden/,,,,,,,,,,,,,,-87.58979589,41.76974772,Neighborspace,SE,,,,,,
69th and Stewart Block Club Garden,6946 S Stewart Ave,60621,Chicago,IL,"Chicago, IL 60621",USA,Community Garden,yes,http://neighbor-space.org/2012/05/24/69th-and-stewart-block-club-garden/,,,,,,,,,,,,,,-87.63482752,41.76813646,Neighborspace,SE,,,,,,
71st & Crandon Organic Garden,2301 E 71st St,60649,Chicago,IL,"Chicago, IL 60649",USA,Community Garden,yes,no website or facebook,,,,,,,,,,,,,,-87.568681,41.765958,SEWG,DC,,,,,,
77th Street Depot Federal Credit Union,5401 S Wentworth Ave Suite 26,60609,Chicago,IL,"Chicago, IL 60609",USA,Credit Union,yes,http://www.77thstreetdepotfcu.org/,,,,,,,,,,,(773)846-7137,,,-87.63046153,41.79623768,creditunionaccess.com,eaz,,,,,,
7900 South Lowe Block Club Park,7932 S Lowe Ave,60620,Chicago,IL,"Chicago, IL 60620",USA,Community Garden,yes,http://neighbor-space.org/2012/06/24/7900-south-lowe-block-club-garden/,,,,,,,,,,,,,,-87.64044753,41.74996543,Neighborspace,SE,,,,,,
820 w Belle Plaine Coop,820 w Belle Plaine,60613,Chicago,IL,"Chicago, IL 60613",USA,Housing Coop,yes,http://www.uhab.org/coopresearch,,,,,,,,,,,,,,-87.650805,41.957651,SEWG,DC,,,,,,
821 Ridge,821 Ridge Ave,60202,Evanston,IL,"Evanston, IL 60202",USA,Housing Coop,yes,http://chicagocoop.net/directory/,,,,,,,,,,,,,,-87.6862656,42.0330356,SEWG,DC,,,,,,
A Just Harvest,7649 N. Paulina St,60626,Chicago,IL,"Chicago, IL 60626",USA,food bank,yes,www.ajustharvest.org,,,,,,,,,,,,,,-87.67299693,42.02026184,Accelerate77,SE,,,,,,
A Knock At Midnight,400 W. 76th Street #206,60620,Chicago,IL,"Chicago, IL 60620",USA,Community Center,yes,www.akamworks.org,,,,,,,,,,,,,,-87.63446338,41.75634365,Accelerate77,SE,,,,,,
Able Community,212 W Washington St Apt 1205,60606,Chicago,IL,"Chicago, IL 60606",USA,Housing Coop,yes,http://www.ablecommunitychicago.org/faq/,,,,,,,,,,,,,,-87.6345125,41.8838363,SEWG,DC,,,,,,
ACCESS CHICAGO,,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
ACME CONTINENTAL CREDIT UNION,55 E JACKSON BLVD # 150,60604,Chicago,IL,"Chicago, IL 60604",USA,Credit Union,yes,https://www.acmecontinentalcu.com/,,,,,,,,,,,(312) 822-4986,,,-87.6254637,41.8780086,SEWG,DC,,,,,,
ACRE (Artists' Cooperative Residency & Exhibitions),1345 W 19th Street,60608,Chicago,IL,"Chicago, IL 60608",USA,Arts Centre,yes,acreresidency.org,,,,,,,,,,,,,,-87.6605631,41.85598019,Shareable Map,SE,,,,,,
Active Transportation Alliance,"9 W. Hubbard St, #402",60654,Chicago,IL,"Chicago, IL 60654",USA,Social Workshop,yes,www.activetrans.org,,,,,,,,,,,,,,-87.62833889,41.88996977,Accelerate77,SE,,,,,,
Addison and Avondale Mural Garden,3571 N Avondale Ave,60618,Chicago,IL,"Chicago, IL 60618",USA,Community Garden,yes,https://www.govserv.org/US/Chicago/136491123111933/Mural-at-Addison-%26-Avondale,,,,,,,,,,,,,,-87.7197893,41.946479,SEWG,DC,,,,,,
Advocates for Urban Agriculture,"159 N. Sangamon Street, Suite 200",60607,Chicago,IL,"Chicago, IL 60607",USA,Community Garden,yes,https://auachicago.org/,,,,,,,,,,,,,,-87.65082636,41.88359432,SEWG,DC,,,,,,
African Heritage Garden,3546 W. 12th Place,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/african-heritage-garden/,,,,,,,,,,,,,,-87.71410959,41.86524301,Accelerate77,SE,,,,,,
"Albany Consensus, 4 units",2423 N Albany Ave,60647,Chicago,IL,"Chicago, IL 60647",USA,Housing Coop,yes,http://albanyconsensus.org/home,,,,,,,,,,,,,,-87.7046836,41.9255816,SEWG,DC,,,,,,
Agitator cooperative gallery,1112 N Ashland Ave ,60622,Chicago,IL,"Chicago, IL 60622 ",USA,Cooperative,yes,http://www.agitatorgallery.com,,,,,,,,,,,,,,-87.6677806,41.9019617,Gretchen Hasse,SE,,,,,,
Albany Park Branch Library,3401 W. Foster Avenue,60625,Chicago,IL,"Chicago, IL 60625",USA,Library,yes,http://www.chipublib.org/locations/1,,,,,,,,,,,,,,-87.71357615,41.97559971,data.cityofchicago.org,SE,,,,,,
Alliance for a Greener South Loop,600 S. Dearborn St,60605,Chicago,IL,"Chicago, IL 60605",USA,Association Office,yes,https://www.facebook.com/GreenerSouthLoop/,,,,,,,,,,,,,,-87.62929994,41.87453032,Accelerate77,SE,,,,,,
Alliance of the Southeast,"9204 South Commercial Avenue, #301",60617,Chicago,Il,"Chicago, Il 60617",USA,Social Workshop,yes,https://asechicago.wordpress.com/,,,,,,,,,,,,,,-87.55130098,41.7280945,Accelerate77,SE,,,,,,
Alliant Credit Union,11545 W Touhy Ave,60666,Chicago,IL,"Chicago, IL 60666",USA,Credit Union,yes,http://www.alliantcreditunion.org/,,,,,,,,,,,(800)328-1935,,,-87.895058,41.972411,creditunionaccess.com,SE,,,,,,
Altgeld Branch Library,13281 S. Corliss Avenue,60827,Chicago,IL,"Chicago, IL 60827",USA,Library,yes,http://www.chipublib.org/locations/3,,,,,,,,,,,,,,-87.60221997,41.65505805,data.cityofchicago.org,SE,,,,,,
Altgeld Gardens Growing Power Urban Farm,951 E 132nd Pl,60827,Chicago,Il,"Chicago, Il 60827",USA,Community Garden,yes,http://www.growingpower.org/education/chicago-farms-and-projects/,,,,,,,,,,,,,,-87.59745732,41.65518548,Neighborspace,SE,,,,,,
Altgeld/Sawyer Corner Garden,3240 W Altgeld St,60639,Chicago,Il,"Chicago, Il 60639",USA,Community Garden,yes,http://altgeldsawyer.cornerfarmchicago.com/,,,,,,,,,,,,,,-87.70949224,41.92660652,Accelerate77,SE,,,,,,
Amate House,3600 S. Seeley Ave.,60609,Chicago,IL,"Chicago, IL 60609",USA,Social Workshop,yes,https://amatehouse.org/,,,,,,,,,,,,,,-87.67654344,41.82853142,Accelerate77,SE,,,,,,
AMERICA SCORES-CHICAGO,600 W CERMAK RD # 204,60616,Chicago,IL,"Chicago, IL 60616",USA,Social Workshop,yes,https://www.chicagoscores.org,,,,,,,,,,,(312) 666-0496,,,-87.642104,41.8529376,SEWG,DC,,,,,,
AMERICAN EGYPTIAN COOPERATION,28 E JACKSON BLVD # 809,,Chicago,IL,"Chicago, IL",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,(312) 427-9368,,,-87.6264528,41.8783799,SEWG,DC,,,,,,
AMERICAN BROADCAST EMPLOYEE CU,190 N STATE ST,60601,Chicago,IL,"Chicago, IL 60601",USA,Credit Union,yes,https://www.abefcu.org/,,,,,,,,,,,(312) 899-4104,,,-87.6284713,41.8853588,SEWG,DC,,,,,,
AMERITAS GROUP,643 E 83RD ST,,Chicago,IL,"Chicago, IL",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,773-633-2566,,,-87.6085616,41.7438163,SEWG,DC,,,,,,
American Indian Center Inc.,3401 West Ainslie Street,60625,Chicago,IL,"Chicago, IL 60625",USA,Social Workshop,yes,http://aic-chicago.org/,,,,,,,,,,,,,,-87.7137847,41.9699711,Accelerate77,SE,,,,,,
Andersonville Farmers Market,1500 W. Berwyn Ave.,60640,Chicago,IL,"Chicago, IL 60640",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.66835785,41.97810892,City of Chicago Farmers Markets,SE,,,,,,
Annie B. Jones Community Services Inc. (ABJ),1818 E. 71st St,60636,Chicago,IL,"Chicago, IL 60636",USA,Social Workshop,yes,http://www.abjchicago.org/index.php?page=meet-the-leadership-team,,,,,,,,,,,,,,-87.66944964,41.76493965,Accelerate77,SE,,,,,,
Archer Heights Branch Library,5055 S. Archer Avenue,60632,Chicago,IL,"Chicago, IL 60632",USA,Library,yes,http://www.chipublib.org/locations/4,,,,,,,,,,,,,,-87.72650303,41.80112567,data.cityofchicago.org,SE,,,,,,
Archeworks,625 N. Kingsbury St,60654,Chicago,IL,"Chicago, IL 60654",USA,School,no,archeworks.org,,,,,,,,,,,,,,-87.64114967,41.89325585,Accelerate77,SE,,,,,,
Archer Heights Credit Union,6554 W Archer Ave,60638,Chicago,IL,"Chicago, IL 60638",USA,Credit Union,yes,http://www.archerheights.com/,,,,,,,,,,,(773)229-1500,,,-87.78588167,41.79235484,creditunionaccess.com,SE,,,,,,
Argyle Apartment Building,1458 W. Argyle,60640,Chicago,IL,"Chicago, IL 60640",USA,Housing Coop,yes,http://www.rosenmanagement.com/argyle-apts/,,,,,,,,,,,,,,-87.6669586,41.9727081,SEWG,DC,,,,,,
Architreasures,"3500 S. Lake Park, #1 West",60653,Chicago,Il,"Chicago, Il 60653",USA,Arts Centre,yes,http://architreasures.org/,,,,,,,,,,,,,,-87.612036,41.820185,Accelerate77,SE,,,,,,
Artist’s Garden,8931-35 S Brandon Ave,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,-87.546639,41.733225,SEWG,DC,,,,,,
Ashford Annie Beck Garden,1000 N Keystone Ave,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,-87.7276451,41.8991694,SEWG,DC,,,,,,
Assata's Daughters,,,Chicago,IL,"Chicago, IL",USA,,no,http://www.assatasdaughters.org,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Argyle Night Market,Broadway & Argyle St.,60640,Chicago,IL,"Chicago, IL 60640",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.666715,41.9726,City of Chicago Farmers Markets,SE,,,,,,
Austin Branch Library,5615 W. Race Avenue,60644,Chicago,IL,"Chicago, IL 60644",USA,Library,yes,http://www.chipublib.org/locations/6,,,,,,,,,,,,,,-87.76574288,41.88919197,data.cityofchicago.org,SE,,,,,,
Austin Coming Together,5049 W. Harrison Street,60644,Chicago,IL,"Chicago, IL 60644",USA,Association Office,yes,http://austincomingtogether.org,,,,,,,,,,,,,,-87.74936063,41.87292816,Accelerate77,SE,,,,,,
Austin Food Coop,Austin,,Chicago,IL,"Chicago, IL",USA,Cooperative,directory only,https://www.facebook.com/pg/acfcchicago/,,,,,,,,,,,773.983.6822,,,,,SEWG,DC,,,,,,
Austin Town Hall Farmers Market *,Lake St. & Central Ave.,60644,Chicago,IL,"Chicago, IL 60644",USA,Farmers Market,check,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.757606,41.881955,City of Chicago Farmers Markets,SE,,,,,,
Austin-Irving Branch Library,6100 W. Irving Park Road,60634,Chicago,IL,"Chicago, IL 60634",USA,Library,yes,http://www.chipublib.org/locations/7,,,,,,,,,,,,,,-87.77924333,41.95310368,data.cityofchicago.org,SE,,,,,,
Avalon Park Branch Library,8148 S. Stony Island Ave,60617,Chicago,IL,"Chicago, IL 60617",USA,Library,yes,http://www.chipublib.org/locations/8/,,,,,,,,,,,,,,-87.58596146,41.74694783,Accelerate77,SE,,,,,,
Back of the Yards Branch Library,2111 W. 47th Street,60609,Chicago,IL,"Chicago, IL 60609",USA,Library,yes,http://www.chipublib.org/locations/9,,,,,,,,,,,,,,-87.67738031,41.80840659,data.cityofchicago.org,SE,,,,,,
Balzekas Museum of Lithuanian Culture,6500 S. Pulaski Rd.,60629,Chicago,IL,"Chicago, IL 60629",USA,Community Center,yes,https://www.facebook.com/Balzekas-Museum-of-Lithuanian-Culture-170807661630/,,,,,,,,,,,,,,-87.72275675,41.7750006,Accelerate77,SE,,,,,,
BANNER COLLECTIVE,935 W CHESTNUT 305,60642,Chicago,IL,"Chicago, IL 60642",USA,Workers Collective,yes,https://www.bannercollective.com,,,,,,,,,,,312.374.5550,,,-87.6514738,41.8981714,SEWG,DC,,,,,,
Benton House,3052 S. Gratten Avenue,60608,Chicago,IL,"Chicago, IL 60608",USA,Group Home,yes,http://bentonhouse.org/,,,,,,,,,,,,,,-87.65439858,41.83927959,Accelerate77,SE,,,,,,
BEST ADULT LITERACY,6701 S EMERALD AVE,,Chicago,IL,"Chicago, IL",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,773.962.1001 (# updated),,,-87.6427924,41.7722642,SEWG,DC,,,,,,
Berean Credit Union,5147 S Dearborn St,60609,Chicago,IL,"Chicago, IL 60609",USA,Credit Union,yes,http://creditunionaccess.com/cu66089.htm,,,,,,,,,,,(773)924-0381,,,-87.6268694,41.79983278,creditunionaccess.com,SE,,,,,,
Bethel Terrace,900 w 63rd,,Chicago,IL,"Chicago, IL",USA,,no,http://www.uhab.org/coopresearch,,,,,,,,,,,,,,-87.6477617,41.782179,SEWG,DC,,,,,,
Better Boys Foundation,1512 S. Pulaski Rd.,60623,Chicago,IL,"Chicago, IL 60623",USA,Social Workshop,no,betterboys.org,,,,,,,,,,,,,,-87.72508908,41.86035956,Accelerate77,SE,,,,,,
Betty Swan Community Arboretum,3836-3848 W Arthington St,,Chicago,IL,"Chicago, IL",USA,,no,,,,,,,,,,,,,,,-87.721828,41.870115,SEWG,DC,,,,,,
Bethel A.M.E. Church Credit Union,4448 S Michigan Ave,60653,Chicago,IL,"Chicago, IL 60653",USA,Credit Union,yes,http://creditunionaccess.com/cu65680.htm,,,,,,,,,,,(708)205-5526,,,-87.62304997,41.81393145,creditunionaccess.com,SE,,,,,,
Beverly Arts Center,2407 W. 111th St.,60655,Chicago,IL,"Chicago, IL 60655",USA,Arts Centre,yes,www.beverlyartcenter.org,,,,,,,,,,,,,,-87.68144663,41.69169014,Accelerate77,SE,,,,,,
Beverly Branch Library,1962 W. 95th St.,60643,Chicago,Il,"Chicago, Il 60643",USA,Library,yes,http://www.chipublib.org/locations/10/,,,,,,,,,,,,,,-87.67146372,41.7211763,Accelerate77,SE,,,,,,
Beverly Farmers Market,95th St. & Longwood Dr.,60643,Chicago,IL,"Chicago, IL 60643",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.659992,41.699379,City of Chicago Farmers Markets,SE,,,,,,
Beyond Today,4511 N. Campbell,60625,Chicago,Il,"Chicago, Il 60625",USA,Social Workshop,yes,https://www.transitionnetwork.org/initiatives/beyond-today,,,,,,,,,,,,,,-87.69110202,41.96343387,Accelerate77,SE,,,,,,
Bezazian Branch Library,1226 W. Ainslie Street,60640,Chicago,IL,"Chicago, IL 60640",USA,Library,yes,http://www.chipublib.org/locations/11,,,,,,,,,,,,,,-87.66056249,41.97153797,data.cityofchicago.org,SE,,,,,,
Bickerdike Redevelopment Corporation,2550 W. North Ave.,60647,Chicago,IL,"Chicago, IL 60647",USA,Social Workshop,yes,www.bickerdike.org,,,,,,,,,,,,,,-87.69125962,41.91043289,Accelerate77,SE,,,,,,
Black Star Project,3509 S King Dr #2B,60653,Chicago,IL,"Chicago, IL 60653",USA,Social Workshop,no,blackstarproject.org/action,,,,,,,,,,,773-285-9600,,,-87.61677666,41.8301461,Shareable Map,SE,,,,,,
Black Oak Center for Sustainable Living,10249 S. Halsted St,60617,Chicago,IL,"Chicago, IL 60617",USA,Social Workshop,yes,http://www.blackoakscenter.org,,,,,,,,,,,,,,-87.64276856,41.70784019,Accelerate77,SE,,,,,,
Blacks in Green,PO Box 378411,60637,Chicago,IL,"Chicago, IL 60637",USA,Social Workshop,no,www.blacksingreen.org,,,,,,,,,,,,,,-87.603401,41.78128,Accelerate77,SE,,,,,,
Black Tech Mecca,222 W Merchandise Mart Plaza,60654,Chicago,IL,"Chicago, IL 60654",USA,Workers Collective,yes,http://www.blacktechmecca.org/,,,,,,,,,,,,,,-87.636511,41.887141,Steve Ediger,SE,,,,,,
Blackstone Bicycle Works,6100 S. Blackstone Ave.,60637,Chicago,Il,"Chicago, Il 60637",USA,Bicycle Store,yes,www.experimentalstation.org/blackstone-bikes,,,,,,,,,,,,,,-87.59038586,41.78388065,Accelerate77,SE,,,,,,
Blessed Sacrament Parish Teen Center,3528 S. Hermitage Ave.,60609,Chicago,IL,"Chicago, IL 60609",USA,Community Center,no,http://bspyouth.blogspot.com/p/staff.html,,,,,,,,,,,,,,-87.66925008,41.82978528,Accelerate77,SE,,,,,,
Blackstone Branch Library,4904 S. Lake Park Avenue,60615,Chicago,IL,"Chicago, IL 60615",USA,Library,yes,http://www.chipublib.org/locations/12,,,,,,,,,,,,,,-87.58921513,41.80557185,data.cityofchicago.org,SE,,,,,,
Bethel Terrace,900 W 63rd Pkwy,60621,Chicago,IL,"Chicago, IL 60621",USA,Housing Coop,check,https://www.facebook.com/pages/Bethel-Terrace/111532478910586?ref=br_rs,,,,,,,,,,,773.873.8703,Yes,,,,,,,,,,,
BLUE HAWK COOPERATIVE,,,Chicago,IL,"Chicago, IL",USA,,no,http://www.bluehawk.coop,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
Block Club Federation,3320 W Hirsch St,60651,Chicago,IL,"Chicago, IL 60651",USA,Social Workshop,yes,https://www.blockclubfederation.org/,,,,,,,,,,,,,,-87.70985698,41.90653179,Accelerate77,SE,,,,,,
Blue Recycling Center,4619 W. Homer Street,60639,Chicago,IL,"Chicago, IL 60639",USA,Social Workshop,yes,http://www.chicagorecycling.org,,,,,,,,,,,,,,-87.74202012,41.91597417,Accelerate77,SE,,,,,,
Blue1647 (Blue Lacuna),2150 Canalport Suite 2A-11,60608,Chicago,IL,"Chicago, IL 60608",USA,Coworking Space,yes,http://www.blue1647.com/,,,,,,,,,,,,,,-87.65065498,41.85296204,Steve Ediger,SE,,,,,,
Borderbend Arts Collective,15 S Homan Ave #315,60624,Chicago,IL,"Chicago , IL 60624",USA,Workers Collective,yes,http://www.borderbend.org/,,,,,,,,,,,,,,-87.71090938,41.88072504,Steve Ediger,SE,,,,,,
Bowmanville Community Garden,5412 N. Bowmanville,60625,Chicago,IL,"Chicago, IL 60625",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/bowmanville-community-garden/,,,,,,,,,,,,,,-87.703667,41.968521,Neighborspace,SE,,,,,,
Bowmanville Gateway Garden,1801 W. Balmoral,60640,Chicago,IL,"Chicago, IL 60640",USA,Community Garden,yes,http://neighbor-space.org/2012/05/23/bowmanville-gateway-garden/,,,,,,,,,,,,,,-87.67450815,41.97965714,Neighborspace,SE,,,,,,
Brainerd Branch Library,1350 W. 89th Street,60620,Chicago,IL,"Chicago, IL 60620",USA,Library,yes,http://www.chipublib.org/locations/13,,,,,,,,,,,,,,-87.65724713,41.73243291,data.cityofchicago.org,SE,,,,,,
Brickyard Garden,6115 S. Woodlawn Ave.,60637,Chicago,IL,"Chicago, IL 60637",USA,Community Garden,yes,http://neighbor-space.org/2012/06/15/brickyard-garden/,,,,,,,,,,,,,,-87.5961914,41.78390191,Accelerate77,SE,,,,,,
Bridgeport Art Center,1200 W. 35th Street,60609,Chicago,IL,"Chicago, IL 60609",USA,Arts Centre,yes,http://bridgeportart.com/,,,,,,,,,,,,,,-87.65573916,41.83070988,Accelerate77,SE,,,,,,
Brighton Park Branch Library,4314 S. Archer Avenue,60632,Chicago,IL,"Chicago, IL 60632",USA,Library,yes,http://www.chipublib.org/locations/16,,,,,,,,,,,,,,-87.70260356,41.81520248,data.cityofchicago.org,SE,,,,,,
Brighton Park Neighborhood Council,4477 S. Archer Ave.,60632,Chicago,IL,"Chicago, IL 60632",USA,Association Office,yes,http://www.bpncchicago.org,,,,,,,,,,,,,,-87.7075367,41.81196339,Accelerate77,SE,,,,,,
Bronzeville Alliance Green Team,4510 S. Michigan Avenue,60653,Chicago,IL,"Chicago, IL 60653",USA,Social Workshop,yes,https://www.facebook.com/Bronzeville-Alliance-Green-Team-156842684376299/,,,,,,,,,,,,,,-87.62302217,41.81289357,Accelerate77,SE,,,,,,
Bronzeville Alliance Neighborhood Garden,4148-4156 South Calumet St,60653,Chicago,IL,"Chicago, IL 60653",USA,Credit Union,yes,https://www.facebook.com/BronzevilleCommunityGarden,,,,,,,,,,,,,,-87.6187282,41.8187215,SEWG,DC,,,,,,
Bronzeville Children's Museum,9301 S. Stony Island Ave,60617,Chicago,IL,"Chicago, IL 60617",USA,museum,yes,www.bronzevillechildrensmuseum.com,,,,,,,,,,,,,,-87.58532394,41.72598483,Accelerate77,SE,,,,,,
Bronzeville Community Garden,360 E. 51st St,60637,Chicago,IL,"Chicago, IL 60637",USA,Community Garden,yes,https://www.facebook.com/BronzevilleCommunityGarden/,,,,,,,,,,,,,,-87.61749122,41.80217279,Accelerate77,SE,,,,,,
