ID,name,address,zipcode,city,st,citystzip,country,type,Include,website,contact_fkey,hours,tags,desc_english,lang_other,desc_lang_other,image_fkey,image_licsense,image_credit,email,ismailpub,phone_private,phone_public,lon,lat,temp_lon,temp_lat,Source,Completed by,organic,fair-trade,coop,coop_type
17,500 West 103rd Place Garden,533 W 103rd Pl,60628,Chicago,IL,"Chicago, IL 60628",USA,Community Garden,yes,http://neighbor-space.org/2012/06/24/500-west-103rd-place-garden/,,,,,,,,,,,,,,-87.63633928,41.70599107,#ERROR!,#ERROR!,Neighborspace,SE,,,,
18,57TH STREET BOOKS,1301 E 57TH ST,60637,Chicago,IL,"Chicago, IL 60637",USA,Housing Coop,yes,https://www.semcoop.com/,,,,,,,,,,,,,(773) 684-1300,-87.5946818,41.7912322,#ERROR!,#ERROR!,SEWG,DC,,,,
19,6062Trees,2612 S Trumbull Ave,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2012/06/23/26th-and-trumbull-pocket-park/,,,,,,,,,,,,,,-87.71121419,41.84420071,#ERROR!,#ERROR!,Accelerate77,SE,,,,
20,61st Street Farmers Market,6100 S. Blackstone Ave.,60637,Chicago,IL,"Chicago, IL 60637",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.59038586,41.78388065,#ERROR!,#ERROR!,City of Chicago Farmers Markets,SE,,,,
21,62Garden (West Side),6183 S Dorchester Ave,60637,Chicago,IL,"Chicago, IL 60637",USA,Community Garden,yes,62garden.com,,,,,,,,,,,,,,-87.5913065,41.78260014,#ERROR!,#ERROR!,Shareable Map,SE,,,,
22,62nd & Central Green Space,6200-08 S Central Ave,60638,Chicago,IL,"Chicago, IL 60638",USA,Community Garden,yes,http://neighbor-space.org/2011/05/20/ubam-park62nd-central-green-space/,,,,,,,,,,,,,,-87.774356,41.781649,#ERROR!,#ERROR!,Neighborspace,SE,,,,
23,65th and Woodlawn Community Garden,1228 E. 65th St.,60643,Chicago,IL,"Chicago, IL 60643",USA,Community Garden,yes,http://www.65thandwoodlawn.com,,,,,,,,,,,,,,-87.59567637,41.77697449,#ERROR!,#ERROR!,Accelerate77,SE,,,,
24,6900 South Dante Garden,1422 E 69th St,60637,Chicago,IL,"Chicago, IL 60637",USA,Community Garden,yes,http://neighbor-space.org/2012/07/24/6900-south-dante-garden/,,,,,,,,,,,,,,-87.58979589,41.76974772,#ERROR!,#ERROR!,Neighborspace,SE,,,,
25,69th and Stewart Block Club Garden,6946 S Stewart Ave,60621,Chicago,IL,"Chicago, IL 60621",USA,Community Garden,yes,http://neighbor-space.org/2012/05/24/69th-and-stewart-block-club-garden/,,,,,,,,,,,,,,-87.63482752,41.76813646,#ERROR!,#ERROR!,Neighborspace,SE,,,,
26,71st & Crandon Organic Garden,2301 E 71st St,60649,Chicago,IL,"Chicago, IL 60649",USA,Housing Coop,yes,no website or facebook,,,,,,,,,,,,,,-87.568681,41.765958,#ERROR!,#ERROR!,SEWG,DC,,,,
27,77th Street Depot Federal Credit Union,5401 S Wentworth Ave Suite 26,60609,Chicago,IL,"Chicago, IL 60609",USA,Credit Union,yes,http://www.77thstreetdepotfcu.org/,,,,,,,,,,,,,(773)846-7137,-87.63046153,41.79623768,#ERROR!,#ERROR!,creditunionaccess.com,eaz,,,,
28,7900 South Lowe Block Club Park,7932 S Lowe Ave,60620,Chicago,IL,"Chicago, IL 60620",USA,Community Garden,yes,http://neighbor-space.org/2012/06/24/7900-south-lowe-block-club-garden/,,,,,,,,,,,,,,-87.64044753,41.74996543,#ERROR!,#ERROR!,Neighborspace,SE,,,,
29,820 w Belle Plaine Coop,820 w Belle Plaine,60613,Chicago,IL,"Chicago, IL 60613",USA,Housing Coop,yes,http://www.uhab.org/coopresearch,,,,,,,,,,,,,,-87.650805,41.957651,#ERROR!,#ERROR!,SEWG,DC,,,,
30,821 Ridge,821 Ridge Ave,60202,Evanston,IL,"Evanston, IL 60202",USA,Housing Coop,yes,http://chicagocoop.net/directory/,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,SEWG,DC,,,,
31,A Just Harvest,7649 N. Paulina St,60626,Chicago,IL,"Chicago, IL 60626",USA,food bank,yes,www.ajustharvest.org,,,,,,,,,,,,,,-87.67299693,42.02026184,#ERROR!,#ERROR!,Accelerate77,SE,,,,
32,A Knock At Midnight,400 W. 76th Street #206,60620,Chicago,IL,"Chicago, IL 60620",USA,Community Center,yes,www.akamworks.org,,,,,,,,,,,,,,-87.63446338,41.75634365,#ERROR!,#ERROR!,Accelerate77,SE,,,,
33,Able Community,212 W Washington St Apt 1205,60606,Chicago,IL,"Chicago, IL 60606",USA,Housing Coop,yes,http://www.ablecommunitychicago.org/faq/,,,,,,,,,,,,,,calc,calc,#ERROR!,#ERROR!,SEWG,DC,,,,
34,ACCESS CHICAGO,,,Chicago,IL,"Chicago, IL ",USA,,no,,,,,,,,,,,,,,,,,,,SEWG,DC,,,,
35,ACME CONTINENTAL CREDIT UNION,55 E JACKSON BLVD # 150,60604,Chicago,IL,"Chicago, IL 60604",USA,Credit Union,yes,https://www.acmecontinentalcu.com/,,,,,,,,,,,,,(312) 822-4986,-87.6254637,41.8780086,#ERROR!,#ERROR!,SEWG,DC,,,,
36,ACRE (Artists' Cooperative Residency & Exhibitions),1345 W 19th Street,60608,Chicago,IL,"Chicago, IL 60608",USA,Arts Centre,yes,acreresidency.org,,,,,,,,,,,,,,-87.6605631,41.85598019,#ERROR!,#ERROR!,Shareable Map,SE,,,,
37,Active Transportation Alliance,"9 W. Hubbard St, #402",60654,Chicago,IL,"Chicago, IL 60654",USA,Social Workshop,yes,www.activetrans.org,,,,,,,,,,,,,,-87.62833889,41.88996977,#ERROR!,#ERROR!,Accelerate77,SE,,,,
38,Addison and Avondale Mural Garden,3571 N Avondale Ave,60618,Chicago,IL,"Chicago, IL 60618",USA,Community Garden,yes,https://www.govserv.org/US/Chicago/136491123111933/Mural-at-Addison-%26-Avondale,,,,,,,,,,,,,,-87.7197893,41.946479,#ERROR!,#ERROR!,SEWG,DC,,,,
39,Advocates for Urban Agriculture,"159 N. Sangamon Street, Suite 200",60607,Chicago,IL,"Chicago, IL 60607",USA,Community Garden,yes,https://auachicago.org/,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,SEWG,DC,,,,
40,African Heritage Garden,3546 W. 12th Place,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/african-heritage-garden/,,,,,,,,,,,,,,-87.71410959,41.86524301,#ERROR!,#ERROR!,Accelerate77,SE,,,,
41,"Albany Consensus, 4 units",2423 N Albany Ave,60647,Chicago,IL,"Chicago, IL 60647",USA,Housing Coop,yes,http://albanyconsensus.org/home,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,SEWG,DC,,,,
42,Albany Park Branch Library,3401 W. Foster Avenue,60625,Chicago,IL,"Chicago, IL 60625",USA,Library,yes,http://www.chipublib.org/locations/1,,,,,,,,,,,,,,-87.71357615,41.97559971,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
43,Alliance for a Greener South Loop,600 S. Dearborn St,60605,Chicago,IL,"Chicago, IL 60605",USA,Association Office,yes,https://www.facebook.com/GreenerSouthLoop/,,,,,,,,,,,,,,-87.62929994,41.87453032,#ERROR!,#ERROR!,Accelerate77,SE,,,,
44,Alliance of the Southeast,"9204 South Commercial Avenue, #301",60617,Chicago,Il,"Chicago, Il 60617",USA,Social Workshop,yes,https://asechicago.wordpress.com/,,,,,,,,,,,,,,-87.55130098,41.7280945,#ERROR!,#ERROR!,Accelerate77,SE,,,,
45,Alliant Credit Union,11545 W Touhy Ave,60666,Chicago,IL,"Chicago, IL 60666",USA,Credit Union,yes,http://www.alliantcreditunion.org/,,,,,,,,,,,,,(800)328-1935,-87.895058,41.972411,#ERROR!,#ERROR!,creditunionaccess.com,SE,,,,
46,Altgeld Branch Library,13281 S. Corliss Avenue,60827,Chicago,IL,"Chicago, IL 60827",USA,Library,yes,http://www.chipublib.org/locations/3,,,,,,,,,,,,,,-87.60221997,41.65505805,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
47,Altgeld Gardens Growing Power Urban Farm,951 E 132nd Pl,60827,Chicago,Il,"Chicago, Il 60827",USA,Community Garden,yes,http://www.growingpower.org/education/chicago-farms-and-projects/,,,,,,,,,,,,,,-87.59745732,41.65518548,#ERROR!,#ERROR!,Neighborspace,SE,,,,
48,Altgeld/Sawyer Corner Garden,3240 W Altgeld St,60639,Chicago,Il,"Chicago, Il 60639",USA,Community Garden,yes,http://altgeldsawyer.cornerfarmchicago.com/,,,,,,,,,,,,,,-87.70949224,41.92660652,#ERROR!,#ERROR!,Accelerate77,SE,,,,
49,Amate House,3600 S. Seeley Ave.,60609,Chicago,IL,"Chicago, IL 60609",USA,Social Workshop,yes,https://amatehouse.org/,,,,,,,,,,,,,,-87.67654344,41.82853142,#ERROR!,#ERROR!,Accelerate77,SE,,,,
50,AMERICA SCORES-CHICAGO,600 W CERMAK RD # 204,60616,Chicago,IL,"Chicago, IL 60616",USA,Social Workshop,yes,https://www.chicagoscores.org,,,,,,,,,,,,,(312) 666-0496,-87.642104,41.8529376,#ERROR!,#ERROR!,SEWG,DC,,,,
51,AMERICAN BROADCAST EMPLOYEE CU,190 N STATE ST,60601,Chicago,IL,"Chicago, IL 60601",USA,Credit Union,yes,https://www.abefcu.org/,,,,,,,,,,,,,(312) 899-4104,-87.6284713,41.8853588,#ERROR!,#ERROR!,SEWG,DC,,,,
52,AMERICAN EGYPTIAN COOPERATION,28 E JACKSON BLVD # 809,,Chicago,IL,"Chicago, IL ",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,(312) 427-9368,-87.6264528,41.8783799,,,SEWG,DC,,,,
53,American Indian Center Inc.,3401 West Ainslie Street,60625,Chicago,IL,"Chicago, IL 60625",USA,Social Workshop,yes,http://aic-chicago.org/,,,,,,,,,,,,,,-87.7137847,41.9699711,#ERROR!,#ERROR!,Accelerate77,SE,,,,
54,AMERITAS GROUP,643 E 83RD ST,,Chicago,IL,"Chicago, IL ",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,773-633-2566,-87.6085616,41.7438163,,,SEWG,DC,,,,
55,Andersonville Farmers Market,1500 W. Berwyn Ave.,60640,Chicago,IL,"Chicago, IL 60640",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.66835785,41.97810892,#ERROR!,#ERROR!,City of Chicago Farmers Markets,SE,,,,
56,Annie B. Jones Community Services Inc. (ABJ),1818 E. 71st St,60636,Chicago,IL,"Chicago, IL 60636",USA,Social Workshop,yes,http://www.abjchicago.org/index.php?page=meet-the-leadership-team,,,,,,,,,,,,,,-87.66944964,41.76493965,#ERROR!,#ERROR!,Accelerate77,SE,,,,
57,Archer Heights Branch Library,5055 S. Archer Avenue,60632,Chicago,IL,"Chicago, IL 60632",USA,Library,yes,http://www.chipublib.org/locations/4,,,,,,,,,,,,,,-87.72650303,41.80112567,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
58,Archer Heights Credit Union,6554 W Archer Ave,60638,Chicago,IL,"Chicago, IL 60638",USA,Credit Union,yes,http://www.archerheights.com/,,,,,,,,,,,,,(773)229-1500,-87.78588167,41.79235484,#ERROR!,#ERROR!,creditunionaccess.com,SE,,,,
60,Archeworks,625 N. Kingsbury St,60654,Chicago,IL,"Chicago, IL 60654",USA,School,No,archeworks.org,,,,,,,,,,,,,,-87.64114967,41.89325585,,,Accelerate77,SE,,,,
61,Architreasures,"3500 S. Lake Park, #1 West",60653,Chicago,Il,"Chicago, Il 60653",USA,Arts Centre,yes,http://architreasures.org/,,,,,,,,,,,,,,-87.612036,41.820185,#ERROR!,#ERROR!,Accelerate77,SE,,,,
62,Argyle Apartment Building,1458 W. Argyle,60640,Chicago,IL,"Chicago, IL 60640",USA,Housing Coop,yes,http://www.rosenmanagement.com/argyle-apts/,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,SEWG,DC,,,,
63,Argyle Night Market,Broadway & Argyle St.,60640,Chicago,IL,"Chicago, IL 60640",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.666715,41.9726,#ERROR!,#ERROR!,City of Chicago Farmers Markets,SE,,,,
64,Artist’s Garden,8931-35 S Brandon Ave,,Chicago,IL,"Chicago, IL ",USA,,no,,,,,,,,,,,,,,,-87.546639,41.733225,,,SEWG,DC,,,,
65,Ashford Annie Beck Garden,1000 N Keystone Ave,,Chicago,IL,"Chicago, IL ",USA,,no,,,,,,,,,,,,,,,-87.7276451,41.8991694,,,SEWG,DC,,,,
66,Assata's Daughters,,,Chicago,IL,"Chicago, IL ",USA,,no,http://www.assatasdaughters.org,,,,,,,,,,,,,,,,,,SEWG,DC,,,,
67,Austin Branch Library,5615 W. Race Avenue,60644,Chicago,IL,"Chicago, IL 60644",USA,Library,yes,http://www.chipublib.org/locations/6,,,,,,,,,,,,,,-87.76574288,41.88919197,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
68,Austin Coming Together,5049 W. Harrison Street,60644,Chicago,IL,"Chicago, IL 60644",USA,Association Office,yes,http://austincomingtogether.org,,,,,,,,,,,,,,-87.74936063,41.87292816,#ERROR!,#ERROR!,Accelerate77,SE,,,,
69,Austin Food Coop,Austin,,Chicago,IL,"Chicago, IL ",USA,Cooperative,no adrs,https://www.facebook.com/pg/acfcchicago/,,,,,,,,,,,,,773.983.6822,,,,,SEWG,DC,,,,
70,Austin Town Hall Farmers Market *,Lake St. & Central Ave.,60644,Chicago,IL,"Chicago, IL 60644",USA,Farmers Market,no adrs,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.757606,41.881955,,,City of Chicago Farmers Markets,SE,,,,
71,Austin-Irving Branch Library,6100 W. Irving Park Road,60634,Chicago,IL,"Chicago, IL 60634",USA,Library,yes,http://www.chipublib.org/locations/7,,,,,,,,,,,,,,-87.77924333,41.95310368,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
72,Avalon Park Branch Library,8148 S. Stony Island Ave,60617,Chicago,IL,"Chicago, IL 60617",USA,Library,yes,http://www.chipublib.org/locations/8/,,,,,,,,,,,,,,-87.58596146,41.74694783,#ERROR!,#ERROR!,Accelerate77,SE,,,,
73,Back of the Yards Branch Library,2111 W. 47th Street,60609,Chicago,IL,"Chicago, IL 60609",USA,Library,yes,http://www.chipublib.org/locations/9,,,,,,,,,,,,,,-87.67738031,41.80840659,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
74,Balzekas Museum of Lithuanian Culture,6500 S. Pulaski Rd.,60629,Chicago,IL,"Chicago, IL 60629",USA,Community Center,yes,https://www.facebook.com/Balzekas-Museum-of-Lithuanian-Culture-170807661630/,,,,,,,,,,,,,,-87.72275675,41.7750006,#ERROR!,#ERROR!,Accelerate77,SE,,,,
75,BANNER COLLECTIVE,935 W CHESTNUT 305,60642,Chicago,IL,"Chicago, IL 60642",USA,Workers Collective,yes,https://www.bannercollective.com,,,,,,,,,,,,,312.374.5550,-87.6514738,41.8981714,#ERROR!,#ERROR!,SEWG,DC,,,,
77,Benton House,3052 S. Gratten Avenue,60608,Chicago,IL,"Chicago, IL 60608",USA,Group Home,yes,http://bentonhouse.org/,,,,,,,,,,,,,,-87.65439858,41.83927959,#ERROR!,#ERROR!,Accelerate77,SE,,,,
78,Berean Credit Union,5147 S Dearborn St,60609,Chicago,IL,"Chicago, IL 60609",USA,Credit Union,yes,http://creditunionaccess.com/cu66089.htm,,,,,,,,,,,,,(773)924-0381,-87.6268694,41.79983278,#ERROR!,#ERROR!,creditunionaccess.com,SE,,,,
80,BEST ADULT LITERACY,6701 S EMERALD AVE,,Chicago,IL,"Chicago, IL ",USA,,no,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,773.962.1001 (# updated),-87.6427924,41.7722642,,,SEWG,DC,,,,
82,Bethel A.M.E. Church Credit Union,4448 S Michigan Ave,60653,Chicago,IL,"Chicago, IL 60653",USA,Credit Union,yes,http://creditunionaccess.com/cu65680.htm,,,,,,,,,,,,,(708)205-5526,-87.62304997,41.81393145,#ERROR!,#ERROR!,creditunionaccess.com,SE,,,,
83,Bethel Terrace,900 w 63rd,,Chicago,IL,"Chicago, IL ",USA,,no,http://www.uhab.org/coopresearch,,,,,,,,,,,,,,-87.6477617,41.782179,,,SEWG,DC,,,,
84,Better Boys Foundation,1512 S. Pulaski Rd.,60623,Chicago,IL,"Chicago, IL 60623",USA,Social Workshop,no,betterboys.org,,,,,,,,,,,,,,-87.72508908,41.86035956,,,Accelerate77,SE,,,,
85,Betty Swan Community Arboretum,3836-3848 W Arthington St,,Chicago,IL,"Chicago, IL ",USA,,no,,,,,,,,,,,,,,,-87.721828,41.870115,,,SEWG,DC,,,,
86,Beverly Arts Center,2407 W. 111th St.,60655,Chicago,IL,"Chicago, IL 60655",USA,Arts Centre,yes,www.beverlyartcenter.org,,,,,,,,,,,,,,-87.68144663,41.69169014,#ERROR!,#ERROR!,Accelerate77,SE,,,,
87,Beverly Branch Library,1962 W. 95th St.,60643,Chicago,Il,"Chicago, Il 60643",USA,Library,yes,http://www.chipublib.org/locations/10/,,,,,,,,,,,,,,-87.67146372,41.7211763,#ERROR!,#ERROR!,Accelerate77,SE,,,,
88,Beverly Farmers Market,95th St. & Longwood Dr.,60643,Chicago,IL,"Chicago, IL 60643",USA,Farmers Market,yes,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,,,,,,,,-87.659992,41.699379,#ERROR!,#ERROR!,City of Chicago Farmers Markets,SE,,,,
89,Beyond Today,4511 N. Campbell,60625,Chicago,Il,"Chicago, Il 60625",USA,Social Workshop,yes,https://www.transitionnetwork.org/initiatives/beyond-today,,,,,,,,,,,,,,-87.69110202,41.96343387,#ERROR!,#ERROR!,Accelerate77,SE,,,,
90,Bezazian Branch Library,1226 W. Ainslie Street,60640,Chicago,IL,"Chicago, IL 60640",USA,Library,yes,http://www.chipublib.org/locations/11,,,,,,,,,,,,,,-87.66056249,41.97153797,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
91,Bickerdike Redevelopment Corporation,2550 W. North Ave.,60647,Chicago,IL,"Chicago, IL 60647",USA,Social Workshop,yes,www.bickerdike.org,,,,,,,,,,,,,,-87.69125962,41.91043289,#ERROR!,#ERROR!,Accelerate77,SE,,,,
92,Black Oak Center for Sustainable Living,10249 S. Halsted St,60617,Chicago,IL,"Chicago, IL 60617",USA,Social Workshop,yes,http://www.blackoakscenter.org,,,,,,,,,,,,,,-87.64276856,41.70784019,#ERROR!,#ERROR!,Accelerate77,SE,,,,
93,Black Star Project,3509 S King Dr #2B,60653,Chicago,IL,"Chicago, IL 60653",USA,Social Workshop,no,blackstarproject.org/action,,,,,,,,,,,,,773-285-9600,-87.61677666,41.8301461,,,Shareable Map,SE,,,,
94,Black Tech Mecca,222 W Merchandise Mart Plaza,60654,Chicago,IL,"Chicago, IL 60654",USA,Workers Collective,yes,http://www.blacktechmecca.org/,,,,,,,,,,,,,,-87.636511,41.887141,#ERROR!,#ERROR!,Steve Ediger,SE,,,,
95,Blacks in Green,PO Box 378411,60637,Chicago,IL,"Chicago, IL 60637",USA,Social Workshop,no,www.blacksingreen.org,,,,,,,,,,,,,,-87.603401,41.78128,,,Accelerate77,SE,,,,
96,Blackstone Bicycle Works,6100 S. Blackstone Ave.,60637,Chicago,Il,"Chicago, Il 60637",USA,Bicycle Store,yes,www.experimentalstation.org/blackstone-bikes,,,,,,,,,,,,,,-87.59038586,41.78388065,#ERROR!,#ERROR!,Accelerate77,SE,,,,
97,Blackstone Branch Library,4904 S. Lake Park Avenue,60615,Chicago,IL,"Chicago, IL 60615",USA,Library,yes,http://www.chipublib.org/locations/12,,,,,,,,,,,,,,-87.58921513,41.80557185,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
98,Blessed Sacrament Parish Teen Center,3528 S. Hermitage Ave.,60609,Chicago,IL,"Chicago, IL 60609",USA,Community Center,no,http://bspyouth.blogspot.com/p/staff.html,,,,,,,,,,,,,,-87.66925008,41.82978528,,,Accelerate77,SE,,,,
99,Block Club Federation,3320 W Hirsch St,60651,Chicago,IL,"Chicago, IL 60651",USA,Social Workshop,yes,https://www.blockclubfederation.org/,,,,,,,,,,,,,,-87.70985698,41.90653179,#ERROR!,#ERROR!,Accelerate77,SE,,,,
101,BLUE HAWK COOPERATIVE,,,Chicago,IL,"Chicago, IL ",USA,,no,http://www.bluehawk.coop,,,,,,,,,,,,,,,,,,SEWG,DC,,,,
102,Blue Recycling Center,4619 W. Homer Street,60639,Chicago,IL,"Chicago, IL 60639",USA,Social Workshop,yes,http://www.chicagorecycling.org,,,,,,,,,,,,,,-87.74202012,41.91597417,#ERROR!,#ERROR!,Accelerate77,SE,,,,
100,Bloomingdale Arts Building,2130 W. Fulton Street,60612,Chicago,IL,"Chicago, IL 60612",USA,Housing Coop,yes,https://chicagoartistscoalition.org/residencies,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,SEWG,DC,,,,
103,Blue1647 (Blue Lacuna),2150 Canalport Suite 2A-11,60608,Chicago,IL,"Chicago, IL 60608",USA,Coworking Space,yes,http://www.blue1647.com/,,,,,,,,,,,,,,-87.65065498,41.85296204,#ERROR!,#ERROR!,Steve Ediger,SE,,,,
104,Borderbend Arts Collective,15 S Homan Ave #315,60624,Chicago ,IL,"Chicago , IL 60624",USA,Workers Collective,yes,http://www.borderbend.org/,,,,,,,,,,,,,,-87.71090938,41.88072504,#ERROR!,#ERROR!,Steve Ediger,SE,,,,
105,Bowmanville Community Garden,5412 N. Bowmanville,60625,Chicago,IL,"Chicago, IL 60625",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/bowmanville-community-garden/,,,,,,,,,,,,,,-87.703667,41.968521,#ERROR!,#ERROR!,Neighborspace,SE,,,,
106,Bowmanville Gateway Garden,1801 W. Balmoral,60640,Chicago,IL,"Chicago, IL 60640",USA,Community Garden,yes,http://neighbor-space.org/2012/05/23/bowmanville-gateway-garden/,,,,,,,,,,,,,,-87.67450815,41.97965714,#ERROR!,#ERROR!,Neighborspace,SE,,,,
107,Brainerd Branch Library,1350 W. 89th Street,60620,Chicago,IL,"Chicago, IL 60620",USA,Library,yes,http://www.chipublib.org/locations/13,,,,,,,,,,,,,,-87.65724713,41.73243291,#ERROR!,#ERROR!,data.cityofchicago.org,SE,,,,
